objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,IMG_0946.jpeg,,,Exhibition Poster,Crystalynn Colacino,2023-03-08,"Exhibition Poster for Women Not Witches, Exoneration of Witches of Scotland, International Women's Day 2023 at Wagner College, Staten Island, NY",women;witches;exhibitions;colleges;posters,"Staten Island, NY",40.6149557,-74.096571,Crystalynn Colacino,,Image;StillImage,image/jpeg,eng,,
coll002,IMG_9049.jpeg,,,Petition Table,Felicia Ruff,2023-03-08,Image of table with petition to pardon 16th century Scottish women accused of witchcraft.,,,40.6149557,-74.096571,Emily Barth,,Image;StillImage,image/jpeg,eng,,
coll003,IMG_0938.jpeg,,,Timeline,Students,2023-03-08,Image of timeline of witch trials in Scotland,,,,,,,,,,,
coll004,IMG_0936.jpeg,,,Definitions,Felicia Ruff,2023-03-08,Image of definitions relevant to exhibition,,,,,,,,,,,
coll005,IMG_0932.jpeg,,,Historical Memorial,Students,2023-03-08,"Image of memorial for witch trials in Pendle, Scotland",,,,,,,,,,,
coll006,IMG_0934.jpeg,,,Memorial,Students,2023-03-08,"Image of memorial for witch trials in Fife, Scotland",,,,,,,,,,,
coll007,IMG_0933.jpeg,,,Memorial,Students,,"Image of memorial for witch trials in Dumfries, Scotland",,,,,,,,,,,
coll008,IMG_0935.jpeg,,,Historical Memorial,Students,,"Image of memorial for witch trials in Paisley, Scotland",,,,,,,,,,,
coll009,IMG_0939.jpeg,,,Closeup of Paisley Memorial,Students,,"Tags, describing individuals placed on trial in Paisley, Scotland",,,,,,,,,,,
coll010,IMG_0928.jpeg,,,Agnes Finnie,Students,,"Statement by Agnes Finnie, placed on trial in Edinburgh: ""I am a witch.""",,,,,,,,,,,
coll011,IMG_0927.jpeg,,,The Witch is Me,Kamy Kempton,,Poem by Kamy Kempton,,,,,,,,,,,
coll012,IMG_0943.jpeg,,,The Witch is Me Detail,Kamy Kempton,,Detail of Poem by Kamy Kempton,,,,,,,,,,,
coll013,IMG_0926.jpeg,,,Cut Up Poem,Angelina Massaroli,,Cut Up Poem by Angelina Massaroli,,,,,,,,,,,
coll014,IMG_0941.jpeg,,,Cut Up Poem Detail,Angelina Massaroli,,Detail of Cut Up Poem by Angelina Massaroli,,,,,,,,,,,
coll015,IMG_0924.jpeg,,,Cut Up Poem by Hannah McFadden,Hannah Mcfadden,,Cut Up Poem by Hannah Mcfadden,,,,,,,,,,,
coll016,IMG_0942.jpeg,,,Cut Up Poem Detail,Hannah Mcfadden,,Detail of Cut Up Poem by Hannah Mcfadden,,,,,,,,,,,
coll017,IMG_0945.jpeg,,,Momento Mori,Felicia Ruff,,"Plant, table, and ""remember me"" candle",,,,,,,,,,,
